scanId,entryId,scanGroupIndex,Frequency,MacAddress,SSID,Strength
6314,23,11,5745,c6:99:bb:89:07:d5,Z60,-95
6315,23,11,2462,60:63:4c:31:37:40,CSE-303,-61
6316,23,11,5745,36:62:f9:a1:88:63,CSE OFFICE,-87
6317,23,11,2437,4e:e8:ef:1a:c1:95,Mahdi,-67
6318,23,11,5785,c2:3b:04:a2:01:1f,getIP().hackDevice(),-79
6319,23,11,2462,76:75:55:f3:a7:bd,Redmi Note 13 Pro,-75
6320,23,11,5785,62:d5:76:41:44:83,Pixel,-80
6321,23,11,5745,34:60:f9:a1:88:63,,-87
6322,23,11,2452,bc:22:28:21:09:24,CSE-205,-47
6323,23,11,5745,bc:22:28:21:09:22,,-53
6324,23,11,5745,bc:22:28:21:09:21,,-52
6325,23,11,2437,7a:ec:99:a0:87:01,Abhishek's A55,-56
6326,23,11,2412,00:22:b0:05:f3:bc,CSE-204,-78
6327,23,11,2427,1c:61:b4:9c:7a:1a,,-78
6328,23,11,2412,18:0f:76:c3:06:8d,CSE-304,-65
6329,23,11,2412,7a:ae:58:61:a1:27,NK,-66
6330,23,11,5785,c6:10:ef:ee:57:ec,pixel,-72
6331,23,11,5745,ee:ec:4e:98:5f:81,,-66
6332,23,11,2437,0a:54:a5:5f:17:37,Galaxy S22C48A,-64
6333,23,12,2412,8e:94:a9:8d:65:5b,vivo Y27s,-51
6334,23,12,5785,2c:fe:e2:59:d0:c2,Horion_e9,-68
6335,23,12,5745,02:59:d2:85:5e:aa,Omi,-96
6336,23,12,2462,5a:d6:bc:29:37:4c,AndroidAP,-59
6337,23,12,2437,56:f1:5f:2e:f3:7a,Horion_yj,-74
6338,23,12,5745,c6:99:bb:89:07:d5,Z60,-95
6339,23,12,2462,60:63:4c:31:37:40,CSE-303,-61
6340,23,12,5745,36:62:f9:a1:88:63,CSE OFFICE,-87
6341,23,12,2437,4e:e8:ef:1a:c1:95,Mahdi,-67
6342,23,12,5785,c2:3b:04:a2:01:1f,getIP().hackDevice(),-79
6343,23,12,2462,76:75:55:f3:a7:bd,Redmi Note 13 Pro,-75
6344,23,12,5785,62:d5:76:41:44:83,Pixel,-80
6345,23,12,5745,34:60:f9:a1:88:63,,-87
6346,23,12,2452,bc:22:28:21:09:24,CSE-205,-47
6347,23,12,5745,bc:22:28:21:09:22,,-53
6348,23,12,5745,bc:22:28:21:09:21,,-52
6349,23,12,2437,7a:ec:99:a0:87:01,Abhishek's A55,-56
6350,23,12,2412,00:22:b0:05:f3:bc,CSE-204,-78
6351,23,12,2427,1c:61:b4:9c:7a:1a,,-78
6352,23,12,2412,18:0f:76:c3:06:8d,CSE-304,-65
6353,23,12,2412,7a:ae:58:61:a1:27,NK,-66
6354,23,12,5785,c6:10:ef:ee:57:ec,pixel,-72
6355,23,12,5745,ee:ec:4e:98:5f:81,,-66
6356,23,12,2437,0a:54:a5:5f:17:37,Galaxy S22C48A,-64
