entryId,roomNo,60:63:4c:31:37:40_CSE-303,30:b5:c2:ea:5b:44_DataLab@BUET,18:0f:76:c3:06:8d_CSE-304,00:22:b0:05:f3:bc_CSE-204,bc:22:28:21:09:21_nan,36:20:f9:a1:88:62_CSE OFFICE,36:20:f9:a1:88:56_CSE OFFICE,bc:22:28:21:09:24_CSE-205,36:62:f9:a1:88:63_CSE OFFICE,bc:22:28:21:55:6b_CSE-104,34:e8:94:10:7d:fa_Hall of Fame,36:20:f9:a1:8b:8e_CSE OFFICE,36:20:f9:a1:8b:8e_CSE OFFICE,5e:a9:31:22:bb:0a_CSE-LAB,bc:22:28:21:55:6e_CSE-104,bc:22:28:21:09:ba_CSE-206,26:2f:d0:88:39:a2_IAC,36:62:f9:a1:88:57_CSE OFFICE,60:63:4c:31:37:60_CSE-306,10:62:eb:77:b7:42_CSE-G04,00:1e:2a:ba:c8:20_CSE-401,70:4c:a5:95:b6:00_BUET-Free-WiFi,60:63:4c:31:37:48_dlink
22,203,-55.0,-64.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-85.5,-90.0,-90.0,-90.0,-90.0,-90.0,-76.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
23,203,-61.0,-71.0,-65.0,-78.0,-52.92,-63.0,-67.0,-47.0,-87.94,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
24,203,-90.0,-69.0,-90.0,-90.0,-63.0,-59.8,-90.0,-90.0,-91.39,-90.0,-90.0,-90.0,-90.0,-90.0,-84.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
25,203,-62.0,-64.0,-90.0,-90.0,-61.57,-58.0,-72.0,-58.33,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
26,203,-50.83,-90.0,-59.0,-72.0,-60.06,-58.83,-90.0,-56.56,-86.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-70.0,-90.0,-90.0,-90.0
27,203,-55.67,-90.0,-90.0,-90.0,-90.0,-54.5,-90.0,-90.0,-78.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
28,203,-66.0,-90.0,-69.0,-90.0,-60.77,-64.0,-90.0,-51.6,-88.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
29,203,-62.0,-68.0,-69.0,-67.0,-67.0,-90.0,-90.0,-56.0,-84.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-91.0,-90.0,-90.0,-90.0,-90.0,-85.78
30,203,-75.17,-90.0,-78.0,-90.0,-68.0,-69.8,-90.0,-65.0,-87.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-87.33,-71.0,-90.0,-90.0,-90.0
31,203,-58.0,-61.67,-71.0,-67.75,-90.0,-63.0,-90.0,-90.0,-89.33,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-94.62,-90.0,-90.0,-90.0,-90.0,-90.0
32,203,-61.71,-70.5,-75.0,-69.5,-68.0,-63.14,-90.0,-58.5,-84.29,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
33,203,-61.09,-65.0,-70.0,-90.0,-57.0,-69.5,-77.0,-59.75,-89.0,-90.0,-90.0,-90.0,-90.0,-73.0,-81.0,-90.0,-90.0,-90.0,-90.0,-58.0,-90.0,-90.0,-84.0
34,203,-64.0,-67.2,-90.0,-65.0,-79.86,-90.0,-90.0,-90.0,-87.0,-90.0,-90.0,-90.0,-90.0,-90.0,-93.0,-90.0,-88.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
35,203,-75.5,-71.0,-67.0,-70.12,-64.0,-90.0,-61.4,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-75.0,-90.0,-90.0,-90.0,-88.0,-90.0,-80.0,-90.0,-90.0,-90.0
