entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
3,18,2c:fe:e2:59:d0:c2,Horion_e9,18,-67.17,2.5,-67.55,11,1.16
3,18,02:59:d2:85:5e:aa,Omi,6,-86.83,1.86,-87.33,3,1.7
3,18,ba:61:33:5d:51:8b,Oggy,3,-57.0,0.0,-57.0,3,0.0
3,18,24:2f:d0:88:39:a2,,3,-75.0,0.0,-75.0,3,0.0
3,18,7a:ec:99:a0:87:01,Abhishek's A55,17,-53.76,2.04,-53.8,10,0.6
3,18,1a:50:a7:f3:20:79,DoYouKnow ,6,-84.33,1.7,-84.0,3,0.0
3,18,36:20:f9:a1:88:62,CSE OFFICE,14,-59.5,2.95,-60.33,9,1.89
3,18,7a:ae:58:61:a1:27,NK,14,-66.71,1.67,-67.11,9,0.31
3,18,c6:10:ef:ee:57:ec,pixel,18,-70.94,2.39,-70.64,11,1.07
3,18,ee:ec:4e:98:5f:81,,13,-76.62,2.53,-78.0,8,0.0
3,18,36:62:f9:a1:88:63,CSE OFFICE,17,-81.0,0.69,-81.1,10,0.3
3,18,c2:3b:04:a2:01:1f,getIP().hackDevice(),17,-75.53,1.79,-75.1,10,0.3
3,18,8e:94:a9:8d:65:5b,vivo Y27s,1,-53.0,0.0,-53.0,1,0.0
3,18,34:60:f9:a1:88:63,,3,-80.67,0.47,-80.67,3,0.47
3,18,bc:22:28:21:09:22,,1,-64.0,0.0,-64.0,1,0.0
3,18,bc:22:28:21:09:21,,3,-63.67,1.25,-63.67,3,1.25
3,18,60:63:4c:31:37:40,CSE-303,1,-54.0,0.0,-54.0,1,0.0
3,18,8e:fa:5f:79:06:05,Ei j eta amar wifi,14,-64.21,1.93,-63.78,9,1.31
3,18,0a:54:a5:5f:17:37,Galaxy S22C48A,3,-66.33,0.47,-66.33,3,0.47
3,18,1c:61:b4:9c:79:f2,,2,-79.5,0.5,-79.5,2,0.5
3,18,4e:e8:ef:1a:c1:95,Mahdi,13,-53.62,4.68,-52.0,8,1.8
3,18,fa:b5:62:5b:af:73,Redmi Note 10S,10,-67.1,2.7,-68.0,6,0.0
3,18,26:e4:72:86:6b:66,Torr20-tab,10,-86.2,0.6,-86.0,6,0.0
3,18,c2:c4:fb:a2:01:1f,getIP().hackDevice(),9,-71.0,0.0,-71.0,6,0.0
3,18,36:20:f9:a1:88:56,CSE OFFICE,9,-73.0,0.0,-73.0,6,0.0
3,18,36:4b:45:95:4b:ce,,9,-89.0,0.0,-89.0,6,0.0
3,18,aa:dc:7e:ea:37:18,moto edge 50 neo_3238,10,-59.1,3.3,-58.0,6,0.0
3,18,5a:e6:b4:de:a1:ae,realme 9,1,-68.0,0.0,-68.0,1,0.0
3,18,18:0f:76:c3:06:8d,CSE-304,1,-66.0,0.0,-66.0,1,0.0
3,18,96:21:ee:e2:9f:97,Tanvir,1,-62.0,0.0,-62.0,1,0.0
3,18,1c:61:b4:9c:7a:1a,,1,-78.0,0.0,-78.0,1,0.0
3,18,e2:fd:30:fe:69:73,Anirban,1,-72.0,0.0,-72.0,1,0.0
3,18,46:c4:90:f1:0a:2a,Galaxy S23 Ultra 8407,1,-71.0,0.0,-71.0,1,0.0
3,18,76:75:55:f3:a7:bd,Redmi Note 13 Pro,1,-68.0,0.0,-68.0,1,0.0
3,18,da:55:41:3a:44:5b,Ara,1,-62.0,0.0,-62.0,1,0.0
4,18,2c:fe:e2:59:d0:c2,Horion_e9,18,-70.33,4.07,-69.55,11,2.57
4,18,02:59:d2:85:5e:aa,Omi,12,-85.67,3.01,-84.71,7,1.75
4,18,1a:50:a7:f3:20:79,DoYouKnow ,16,-90.06,1.3,-90.67,9,0.47
4,18,60:63:4c:31:37:40,CSE-303,17,-55.41,2.17,-55.0,10,1.67
4,18,c6:10:ef:ee:57:ec,pixel,18,-76.83,5.45,-76.09,11,4.87
4,18,ee:ec:4e:98:5f:81,,12,-78.25,2.62,-79.0,7,0.0
4,18,0a:54:a5:5f:17:37,Galaxy S22C48A,4,-68.5,0.5,-68.5,4,0.5
4,18,02:df:3b:f6:97:11,CSE 9,1,-69.0,0.0,-69.0,1,0.0
4,18,4e:e8:ef:1a:c1:95,Mahdi,15,-59.87,2.87,-58.78,9,1.31
4,18,c2:3b:04:a2:01:1f,getIP().hackDevice(),18,-77.78,3.88,-77.36,11,2.96
4,18,bc:22:28:21:09:24,CSE-205,8,-58.75,3.83,-59.8,5,2.4
4,18,bc:22:28:21:09:22,,9,-64.44,6.96,-66.67,6,5.25
4,18,bc:22:28:21:09:21,,14,-55.79,5.88,-53.56,9,1.07
4,18,00:22:b0:05:f3:bc,CSE-204,11,-60.55,0.99,-61.0,6,0.0
4,18,56:f1:5f:2e:f3:7a,Horion_yj,7,-64.14,1.46,-64.5,4,0.5
4,18,34:60:f9:a1:88:57,,2,-91.5,0.5,-91.5,2,0.5
4,18,34:60:f9:a1:88:63,,13,-85.0,1.92,-85.0,8,0.0
4,18,ba:61:33:5d:51:8b,Oggy,2,-69.0,5.0,-69.0,2,5.0
4,18,36:62:f9:a1:88:63,CSE OFFICE,13,-84.15,1.79,-84.0,8,0.0
4,18,7a:ec:99:a0:87:01,Abhishek's A55,18,-54.17,4.73,-53.45,11,3.94
4,18,18:0f:76:c3:06:8d,CSE-304,2,-64.5,2.5,-64.5,2,2.5
4,18,96:26:00:ef:b2:d5,AlAmin,1,-72.0,0.0,-72.0,1,0.0
4,18,8e:94:a9:8d:65:5b,vivo Y27s,11,-48.27,2.99,-47.0,6,0.0
4,18,34:60:f9:a1:88:62,,2,-62.5,0.5,-62.5,2,0.5
4,18,36:20:f9:a1:88:62,CSE OFFICE,8,-65.62,2.96,-66.6,5,1.96
4,18,62:d5:76:41:44:83,Pixel,8,-80.5,5.1,-82.4,5,1.74
4,18,02:a8:9b:f6:4d:ca,,1,-82.0,0.0,-82.0,1,0.0
4,18,7e:5d:23:fc:ca:4a,GADA ELECTRONICS,1,-66.0,0.0,-66.0,1,0.0
4,18,12:38:f1:f0:25:6e,OPPO F21 Pro,1,-69.0,0.0,-69.0,1,0.0
4,18,36:20:f9:a1:88:56,CSE OFFICE,5,-69.0,2.0,-68.0,3,0.0
4,18,26:e4:72:86:6b:66,Torr20-tab,9,-93.0,0.0,-93.0,6,0.0
4,18,6a:66:d2:07:a3:61,Juice Pila do. Mosambi Ka! 🥹,9,-69.0,0.0,-69.0,6,0.0
4,18,5a:e6:b4:de:a1:ae,realme 9,9,-78.0,0.0,-78.0,6,0.0
4,18,3e:92:f7:29:0d:11,Abrar Zahin's Galaxy A33 5G,9,-63.0,0.0,-63.0,6,0.0
4,18,c2:c4:fb:a2:01:1f,getIP().hackDevice(),9,-78.0,0.0,-78.0,6,0.0
4,18,24:2f:d0:88:39:a2,,1,-74.0,0.0,-74.0,1,0.0
4,18,34:60:f9:a1:8b:8e,,1,-80.0,0.0,-80.0,1,0.0
4,18,8e:fa:5f:79:06:05,Ei j eta amar wifi,4,-73.0,0.0,-73.0,4,0.0
4,18,aa:dc:7e:ea:37:18,moto edge 50 neo_3238,6,-62.5,2.14,-64.0,3,0.0
4,18,34:e8:94:10:7d:fa,Hall of Fame,1,-79.0,0.0,-79.0,1,0.0
4,18,5a:d6:bc:29:37:4c,AndroidAP,1,-81.0,0.0,-81.0,1,0.0
4,18,5c:e9:31:22:bb:0a,,1,-80.0,0.0,-80.0,1,0.0
4,18,26:2f:d0:88:39:a2,IAC,1,-71.0,0.0,-71.0,1,0.0
4,18,5e:a9:31:22:bb:0a,CSE-LAB,1,-80.0,0.0,-80.0,1,0.0
4,18,5e:a9:31:22:be:d6,CSE-LAB,1,-80.0,0.0,-80.0,1,0.0
4,18,7a:ae:58:61:a1:27,NK,1,-69.0,0.0,-69.0,1,0.0
4,18,e2:fd:30:fe:69:73,Anirban,3,-73.0,0.0,-73.0,3,0.0
4,18,34:60:f9:a1:88:56,,3,-73.0,0.0,-73.0,3,0.0
4,18,1c:61:b4:9c:7a:1a,,3,-78.0,0.0,-78.0,3,0.0
5,5,62:d5:76:41:44:83,Pixel,5,-59.4,1.74,-59.0,3,1.41
5,5,2c:fe:e2:59:d0:c2,Horion_e9,5,-74.0,4.29,-73.0,3,0.0
5,5,34:60:f9:a1:88:63,,4,-88.5,0.87,-88.5,4,0.87
5,5,bc:22:28:21:09:24,CSE-205,2,-61.5,7.5,-61.5,2,7.5
5,5,bc:22:28:21:09:22,,4,-70.25,3.9,-70.25,4,3.9
5,5,bc:22:28:21:09:21,,5,-70.2,3.49,-68.67,3,0.94
5,5,30:b5:c2:ea:5b:44,DataLab@BUET,4,-60.5,4.33,-60.5,4,4.33
5,5,56:f1:5f:2e:f3:7a,Horion_yj,1,-72.0,0.0,-72.0,1,0.0
5,5,1a:50:a7:f3:20:79,DoYouKnow ,5,-86.6,1.96,-87.0,3,0.0
5,5,7a:ae:58:61:a1:27,NK,1,-72.0,0.0,-72.0,1,0.0
5,5,c6:10:ef:ee:57:ec,pixel,5,-77.2,1.6,-77.0,3,0.0
5,5,36:62:f9:a1:88:63,CSE OFFICE,4,-85.5,2.6,-85.5,4,2.6
5,5,4e:e8:ef:1a:c1:95,Mahdi,5,-34.8,0.98,-34.67,3,0.94
5,5,3e:92:f7:29:0d:11,Abrar Zahin's Galaxy A33 5G,1,-45.0,0.0,-45.0,1,0.0
5,5,7a:ec:99:a0:87:01,Abhishek's A55,4,-55.5,2.6,-55.5,4,2.6
5,5,da:55:41:3a:44:5b,Ara,1,-64.0,0.0,-64.0,1,0.0
5,5,00:22:b0:05:f3:bc,CSE-204,1,-65.0,0.0,-65.0,1,0.0
5,5,1c:61:b4:9c:7a:1a,,1,-81.0,0.0,-81.0,1,0.0
5,5,c2:3b:04:a2:01:1f,getIP().hackDevice(),1,-76.0,0.0,-76.0,1,0.0
5,5,8e:fa:5f:79:06:05,Ei j eta amar wifi,4,-70.25,1.3,-70.25,4,1.3
5,5,c6:ef:10:ee:57:ec,pixel,3,-79.0,0.0,-79.0,3,0.0
