macAddress,ssid,total_count
5e:a9:31:22:bf:96,CSE-LAB,14
f4:8c:eb:c5:c7:aa,EMC-504,13
12:99:b1:da:35:37,Galaxy M12 834E,12
70:4c:a5:64:bc:60,BUET-Free-WiFi,12
5c:e9:31:22:bf:96,,12
be:ed:be:10:4e:dc,Shabab's Galaxy A52,12
ce:ad:71:f7:d6:3f,,11
78:98:e8:38:3b:04,Arham 2.5G Network,11
5e:75:bf:7f:f2:e4,realme 9 Pro 5G,11
70:4c:a5:64:bc:61,eduroam,11
5c:e9:31:22:bb:0b,,10
02:df:3b:f6:97:11,CSE 9,10
02:a8:9b:f6:4d:ca,,10
42:91:83:46:e0:61,Churoot,10
bc:22:28:21:09:b8,,9
bc:22:28:21:09:b7,CSE-206,9
bc:22:28:21:55:6b,CSE-104,9
74:da:88:f6:5d:8c,Mimi,9
cc:2d:21:36:d7:90,Savage-us,9
96:26:00:ef:b2:d5,AlAmin,9
5e:ea:31:22:bb:0b,CSE-LAB,9
10:62:eb:1a:0c:09,Room 914,8
56:77:3d:1c:98:93,Redmi 11 Prime,8
70:4c:a5:95:b6:01,eduroam,8
7a:da:88:f6:5d:8c,,8
e8:65:d4:52:b3:b0,Room709,7
f6:6b:65:56:e4:88,realme 10,7
56:b0:f4:42:18:c1,narzo 50 Pro 5G,7
8e:f6:fd:8d:6d:a4,POCO X3 Pro,7
da:ee:60:35:62:33,🫶,7
00:1e:2a:ba:c8:20,CSE-401,7
bc:22:28:21:55:6c,,7
2e:87:ba:35:8b:ea,,7
4e:1d:99:39:cc:3e,Galaxy A324007,6
c8:e7:d8:89:f1:a6,Imran_Fast Network_01708529844,6
fe:13:2f:1f:9e:48,Ifti’s iPhone,6
70:4c:a5:95:92:f1,eduroam,6
34:0a:33:6a:24:5e,ROOM-713,6
cc:2d:21:f9:ee:e8,Princesses _606,6
4c:ed:fb:d1:5a:d8,Room-912,6
f2:1f:ea:6b:fb:06,hawk,6
70:4c:a5:95:92:f0,BUET-Free-WiFi,6
c6:99:bb:89:07:d5,Z60,6
12:00:4d:03:42:79,Tatakae🥷,6
5c:e9:31:97:28:f4,Room no 1103,6
70:4c:a5:95:a4:18,BUET-Free-WiFi,5
60:63:4c:31:37:68,dlink,5
60:63:4c:ab:f6:6b,EEE_Teachers_WiFi,5
60:63:4c:ac:0c:cb,BTCL_WiFi_15/B,5
70:4c:a5:95:b2:d1,eduroam,5
66:83:e7:4e:54:6a,,5
70:4c:a5:95:b2:d0,BUET-Free-WiFi,5
c8:e7:d8:86:0c:9e,Room- 808,5
84:d8:1b:92:d7:fa,Room-906,5
3e:4c:aa:f9:d8:98,VoSSS,5
