macAddress,ssid,total_count
9a:a0:3f:22:6e:8f,Jibonjuddhe Here Jacchi,9
2c:fe:e2:59:d0:c2,Horion_e9,9
74:da:88:f6:5d:8c,Mimi,9
7a:da:88:f6:5d:8c,,8
4c:ed:fb:d1:5a:d8,Room no.912,8
34:0a:33:6a:24:5e,ROOM-713,8
5c:e9:31:97:28:f4,Room no 1103,7
84:d8:1b:92:d7:fa,Room-906,7
70:4c:a5:95:92:f1,eduroam,7
02:83:7e:72:2b:0b,realme C12i,7
28:87:ba:35:8b:ea,4s,7
b0:19:21:f7:f8:83,Room no. 614,7
56:f1:5f:2e:db:20,Horion_j6,7
5c:e9:31:22:bb:0b,,7
cc:2d:21:3e:5b:b0,Room 202,7
66:83:e7:4e:54:6a,,6
70:4c:a5:95:b2:d1,eduroam,6
82:af:ca:21:95:ea,,6
70:4c:a5:95:92:f0,BUET-Free-WiFi,6
46:b7:e8:94:1b:31,Galaxy A54 5G DACD,6
50:eb:f6:17:73:b8,SHAN,6
f2:1f:ea:6b:fb:06,hawk,6
cc:2d:21:f9:ee:e8,Princesses _606,6
9c:c9:eb:50:1a:04,CSE-405,6
1e:61:b4:ac:79:f3,CSE-306BL,6
12:00:4d:03:42:79,Tatakae🥷,6
bc:22:28:21:70:60,,5
c8:e7:d8:86:0c:9e,Room- 808,5
d4:5d:64:1b:40:e4,Asma Sultana,5
60:63:4c:ab:f6:6b,EEE_Teachers_WiFi,5
34:60:f9:6c:f3:02,Nahiyan,5
60:63:4c:ac:0c:cb,BTCL_WiFi_15/B,5
60:63:4c:31:37:68,dlink,5
a4:2b:b0:01:15:2c,ROOM-503,5
bc:22:28:21:70:62,CSE-214,5
90:6a:94:f9:b6:f5,CSE-314,5
ac:15:a2:4c:49:9a,Paradise ,5
98:25:4a:0e:36:5e,,4
cc:2d:21:3e:9d:18,Lapatta Ladies,4
b8:3a:08:dd:a2:98,Room no. 306,4
9a:25:4a:0e:36:5e,CSE- G11&G12,4
e8:65:d4:52:b3:b0,ROOM-709,4
e8:65:d4:94:60:68,Room no 1001,4
0c:80:63:fb:72:74,Slow Wifi,4
60:a4:b7:20:74:5c,Room-1114,4
72:f1:12:0f:b9:81,Galaxy A34 5G EFE7,4
c8:e7:d8:89:f1:a6,Imran_Fast Network_01708529844,4
cc:2d:21:67:fd:20,Room no 710,4
28:3b:82:4d:c2:ee,801 roomies,4
cc:2d:21:14:ab:60,Sree♥️,4
36:62:f9:a1:8b:8f,CSE OFFICE,4
c6:6d:1d:f3:81:c0,Pixel_7669,3
b4:b0:24:06:ba:46,DSMC-TP-Link,3
b6:65:08:c5:cb:9e,MohidN20U,3
50:d4:f7:9b:ed:46,HAMEEM,3
cc:2d:21:b0:04:60,ROOM-206,3
10:62:eb:7d:61:95,Super girls,3
46:c4:90:f1:0a:2a,Galaxy S23 Ultra 8407,3
40:ae:30:2b:87:ea,Room 813,3
70:4c:a5:95:ae:c9,eduroam,3
3e:52:a1:24:db:4a,,3
70:4c:a5:95:a4:19,eduroam,3
cc:2d:21:4e:ae:60,Sidolli 708,3
34:60:f9:a1:8b:8f,,3
9e:90:da:ad:a8:50, Saif's Redmi,3
5e:ea:31:22:bf:97,CSE-LAB,3
1c:61:b4:9c:79:f3,,3
34:0a:33:6d:af:1e,Room 913,3
cc:2d:21:01:cb:38,ROOM-812,3
20:23:51:9c:f5:ae,,3
60:83:e7:4e:54:6a,BUET_EEE234,3
24:2f:d0:88:39:a3,,3
26:2a:d0:88:39:a3,IAC,3
bc:22:28:21:70:5f,CSE-214,2
76:b5:7d:a1:24:cb,Rishuk,2
70:4c:a5:95:a4:18,BUET-Free-WiFi,2
c0:25:2f:b1:a3:7a,Md. Himel Hasan,2
5c:e9:31:22:bf:97,,2
f4:a4:54:87:35:58,BTCL,2
f4:8c:eb:a1:c5:5f,Shantir Bari,2
18:d6:c7:ab:26:90,402,2
e0:1c:fc:a8:de:0c,Rome,2
22:23:51:ac:f5:ae,Saiful,2
d6:1a:91:9d:30:dc,Sourov_ Alam,2
28:87:ba:8d:5c:e6,BRINTA-10,2
3c:52:a1:c4:db:4a,palashi association,2
48:22:54:85:15:6a,Room no. 1108,2
54:af:97:71:b9:9d,EEE-240,2
cc:2d:21:37:0c:98,Room 705,2
b0:19:21:15:12:3e,Second Home 310,2
ca:ba:80:ff:83:1d,Ashis Birai’s iPhone,2
c8:e7:d8:82:59:3c,Room 704,2
70:4c:a5:95:af:71,eduroam,2
70:4c:a5:d3:60:40,BUET-Free-WiFi,2
c8:d3:a3:21:82:88,CSE-118,2
70:4c:a5:95:a4:21,eduroam,2
b0:be:76:7b:c2:90,Dipro,1
f6:f1:eb:90:57:e8,Redmi Note 10S,1
e8:65:d4:fc:e2:68,Net lagbo,1
b4:0f:3b:60:a1:f0,Butterfly _414,1
b0:a7:b9:5c:22:ca,Room344,1
c0:25:e9:e1:86:24,Sadia-201,1
f2:8b:25:5c:f1:42,M10,1
f0:b4:d2:1c:9c:8c,ART-5,1
b0:a7:b9:5c:22:c9,Room344,1
b8:3a:08:36:ef:71,Diagon Alley,1
f0:09:0d:f1:43:b2,Shahidul,1
bc:0f:9a:22:a1:58,AULA142,1
e8:65:d4:52:c8:08,Jannat 409,1
c8:e7:d8:82:8d:42,Fairy & ghost,1
e8:48:b8:4e:b9:a2,Creative girls,1
e6:cc:23:77:cd:dd,Galaxy A50,1
e4:c3:2a:60:ba:4a,HP,1
c0:c9:e3:b5:f9:ba,x_x,1
dc:62:79:93:9e:2a,Wisdom,1
c4:71:54:e7:4a:64,Phoenix,1
c0:25:e9:5e:ba:d4,Group Of Crazy💃,1
d4:6e:0e:87:57:c2,Ame505,1
c8:e7:d8:82:7d:54,Tilottoma1002,1
cc:32:e5:03:7d:ab,Salim_fast_network,1
cc:2d:21:9c:77:b0,Creativity 406,1
d8:32:14:a2:22:f0,Room 143,1
00:04:56:fe:23:e7,00002DhkSknAp1,1
ae:15:a2:70:2c:ee,Baby,1
ac:15:a2:9a:96:40,TP-Link_9640,1
28:87:ba:35:8b:eb,4s,1
30:de:4b:71:f7:09,Abid,1
34:0a:33:69:a6:d2,AULA 243,1
38:6b:1c:32:14:ce,405,1
50:0f:f5:6f:41:50,Saban dimu doilla,1
50:91:e3:b5:b4:bd,Haimo,1
50:d4:f7:15:d1:ee,Corona virus,1
52:91:e3:a5:b4:bd,,1
56:c4:fa:bc:c1:0c,OPPO F25 Pro 5G,1
58:d5:6e:d4:aa:94,D-Link_DIR-615,1
58:d9:d5:eb:91:d8,Room_161,1
5c:62:8b:23:93:b3,Leave Me Alone,1
5c:62:8b:23:93:b4,BUET Free WIFI,1
