macAddress,ssid,total_count
bc:22:28:21:70:62,CSE-214,4
ac:15:a2:84:3d:1a,CSE_OBE_CELL,4
26:2f:d0:88:4c:62,IAC,4
1c:61:b4:9c:7a:1a,,4
72:f1:12:0f:b9:81,Galaxy A34 5G EFE7,4
82:af:ca:21:95:ea,,4
10:62:eb:7d:61:95,Super girls,3
b8:3a:08:dd:a2:98,Room no. 306,3
1c:61:b4:9c:79:f3,,3
0c:80:63:fb:72:74,Slow Wifi,3
2e:87:ba:35:8b:ea,,3
cc:2d:21:b0:04:60,ROOM-206,3
24:2f:d0:88:39:a3,,3
5e:ea:31:22:bf:97,CSE-LAB,3
26:2a:d0:88:39:a3,IAC,3
5e:a9:31:22:c8:de,CSE-LAB,3
70:4c:a5:95:ae:c9,eduroam,3
28:87:ba:35:8b:ea,4s,3
cc:2d:21:3e:5b:b0,Room 202,3
c6:6d:1d:f3:81:c0,Pixel_7669,3
bc:22:28:21:70:60,,3
9e:90:da:ad:a8:50, Saif's Redmi,3
36:62:f9:a1:8b:8f,CSE OFFICE,3
4c:ed:fb:d1:5a:d8,Room no.912,3
46:c4:90:f1:0a:2a,Galaxy S23 Ultra 8407,3
34:0a:33:6d:af:1e,Room 913,3
cc:2d:21:01:cb:38,ROOM-812,2
70:4c:a5:64:bf:19,eduroam,2
90:6a:94:f9:b6:f5,CSE-314,2
70:4c:a5:64:bc:61,eduroam,2
70:4c:a5:95:a4:21,eduroam,2
50:eb:f6:17:73:b8,SHAN,2
70:4c:a5:95:af:71,eduroam,2
f4:8c:eb:a1:c5:5f,Shantir Bari,2
84:d8:1b:92:d7:fa,Room-906,2
40:ae:30:2b:87:ea,Room 813,2
24:2f:d0:88:4c:62,,2
cc:2d:21:3e:9d:18,Lapatta Ladies,2
5c:e9:31:22:bf:97,,2
5c:e9:31:22:c8:de,,2
5c:e9:31:97:28:f4,Room no 1103,2
5e:a9:31:22:bf:96,CSE-LAB,2
76:b5:7d:a1:24:cb,Rishuk,2
34:60:f9:a1:8b:8f,,2
96:88:36:18:59:c0,Galaxy F22F973,1
a8:42:a1:68:70:de,Star 5,1
ac:15:a2:4c:49:9a,Paradise ,1
98:25:4a:f1:3a:ed,Room no.1006_5G,1
aa:cd:c4:62:2f:ab,pc 5,1
9a:25:4a:0e:36:5e,CSE- G11&G12,1
ac:15:a2:9a:96:40,TP-Link_9640,1
96:2d:83:03:5f:ec,Anjum Roja,1
9c:c9:eb:50:1a:04,CSE-405,1
aa:bb:60:c1:1d:bd,Tanveer's Galaxy A32,1
a4:2b:8c:5e:1c:3a,Dr Mohammad Faisal,1
00:04:56:fe:23:e7,00002DhkSknAp1,1
b0:19:21:14:2a:59,TP-Link_2A59,1
c0:c9:e3:b5:f9:ba,x_x,1
f4:a4:54:8b:32:ce,legenterritoryBeast,1
f4:a4:54:8b:32:cc,legenterritory,1
f0:b4:d2:1c:9c:8c,ART-5,1
f0:09:0d:f1:43:b2,Shahidul,1
