entryId,roomNo,Hall of Fame,CSE-G04,DataLab@BUET,dlink,CSE-303,Galaxy M124213,CSE-G07,CSE-306,CSE-206,CSE-204,CSE-304
54,203,-76.43,-90.0,-54.07,-78.14,-57.0,-53.19,-86.0,-90.0,-69.0,-69.0,-90.0
55,203,-78.2,-75.17,-60.27,-84.0,-53.17,-53.6,-84.0,-83.6,-68.25,-66.33,-58.78
56,Outside,-76.08,-90.0,-36.12,-90.0,-67.0,-58.3,-90.0,-88.0,-81.17,-68.29,-70.86
57,Outside,-79.0,-90.0,-59.75,-90.0,-52.0,-60.67,-80.0,-70.0,-52.08,-66.0,-52.18
58,203,-81.33,-90.0,-62.44,-74.62,-61.0,-50.59,-85.5,-90.0,-69.5,-71.4,-66.0
59,Outside,-66.29,-90.0,-32.43,-87.0,-61.33,-61.14,-90.0,-90.0,-72.0,-63.83,-76.0
60,Outside,-65.0,-90.0,-53.4,-73.39,-52.67,-71.19,-85.5,-68.67,-47.0,-48.2,-61.8
61,203,-73.43,-83.0,-54.56,-80.28,-54.69,-57.88,-87.67,-84.0,-69.0,-60.0,-64.0
62,Outside,-72.69,-76.14,-59.25,-90.0,-54.0,-68.1,-76.92,-74.78,-55.46,-67.6,-55.44
63,Outside,-61.56,-75.0,-51.53,-72.0,-58.81,-66.53,-88.0,-70.14,-63.64,-51.89,-67.46
64,Outside,-75.33,-82.0,-46.67,-90.0,-65.27,-65.16,-87.0,-77.75,-71.44,-66.36,-71.75
65,Outside,-80.27,-83.75,-71.8,-88.0,-67.29,-66.27,-83.17,-73.33,-54.07,-60.47,-58.46
66,204,-66.44,-86.6,-52.0,-88.0,-76.5,-63.53,-90.0,-90.0,-69.0,-47.0,-60.33
67,Outside,-59.57,-83.67,-44.0,-79.17,-57.4,-74.22,-90.0,-77.5,-59.87,-60.94,-71.67
68,204,-70.62,-90.0,-69.71,-85.47,-64.25,-37.44,-84.44,-87.0,-52.56,-58.67,-51.56
69,Outside,-73.82,-80.0,-52.0,-90.0,-55.75,-70.0,-84.75,-70.43,-56.64,-57.41,-65.33
70,204,-58.59,-83.33,-72.09,-87.0,-68.92,-43.0,-89.0,-90.0,-58.12,-53.72,-57.64
71,Outside,-83.64,-65.93,-67.93,-90.0,-58.5,-66.94,-66.58,-67.86,-46.4,-74.17,-56.87
72,Outside,-72.0,-90.0,-72.25,-90.0,-66.14,-53.24,-86.2,-82.0,-48.0,-64.75,-60.2
73,204,-73.25,-84.0,-66.56,-77.71,-54.73,-65.28,-76.83,-77.0,-58.54,-55.83,-45.56
74,204,-73.57,-88.0,-67.93,-82.65,-67.0,-57.76,-87.67,-90.0,-65.67,-59.76,-57.31
75,204,-71.0,-90.0,-81.33,-90.0,-72.0,-63.37,-90.0,-90.0,-68.8,-61.33,-65.25
76,Outside,-73.6,-90.0,-72.67,-90.0,-75.5,-64.94,-83.9,-81.5,-52.86,-69.58,-63.8
77,Outside,-75.27,-87.0,-78.33,-90.0,-77.0,-65.44,-76.38,-72.56,-49.18,-68.71,-62.92
78,204,-70.93,-85.5,-66.45,-90.0,-61.79,-55.39,-84.09,-88.0,-62.5,-56.0,-54.5
79,204,-66.93,-90.0,-65.67,-79.83,-63.27,-48.06,-89.33,-90.0,-56.62,-57.44,-53.82
80,Outside,-67.62,-82.75,-49.69,-71.0,-54.0,-65.0,-89.33,-79.0,-59.0,-47.75,-66.6
81,204,-71.12,-79.0,-68.56,-82.44,-56.1,-49.78,-81.89,-82.25,-44.0,-66.56,-42.0
82,Outside,-74.85,-72.0,-64.15,-63.0,-54.5,-64.0,-75.42,-71.25,-54.18,-69.5,-60.71
83,204,-67.06,-82.75,-68.31,-86.19,-69.58,-52.13,-86.0,-81.5,-64.71,-58.29,-59.15
84,Outside,-83.0,-74.67,-68.0,-90.0,-59.62,-76.71,-77.45,-67.36,-47.79,-68.19,-59.0
85,204,-62.28,-85.0,-66.17,-84.71,-67.5,-60.0,-87.75,-85.67,-64.0,-51.65,-56.14
86,204,-70.62,-83.5,-67.86,-90.0,-58.2,-61.35,-78.78,-74.0,-55.92,-65.0,-48.0
87,204,-69.0,-79.5,-72.5,-82.35,-66.5,-58.41,-85.23,-87.5,-57.53,-65.81,-53.62
88,204,-68.81,-87.0,-70.62,-85.5,-67.0,-59.17,-90.0,-89.0,-58.37,-63.56,-56.47
89,204,-65.6,-82.67,-68.33,-85.11,-58.24,-50.39,-88.0,-90.0,-58.0,-58.56,-55.33
90,204,-70.13,-86.0,-70.73,-81.0,-57.5,-56.0,-87.78,-90.0,-53.83,-60.06,-55.43
91,204,-71.2,-76.0,-67.21,-81.74,-62.15,-61.83,-85.33,-81.25,-64.37,-60.5,-45.0
92,204,-68.42,-90.0,-78.0,-90.0,-73.62,-64.56,-90.0,-85.33,-59.53,-56.0,-65.0
93,204,-65.0,-87.31,-64.64,-86.65,-71.71,-64.5,-90.0,-90.0,-62.6,-47.72,-68.06
94,204,-73.36,-90.0,-64.45,-86.89,-70.6,-58.11,-90.0,-90.0,-64.29,-56.18,-52.62
95,204,-72.37,-85.29,-66.5,-84.39,-62.78,-50.78,-88.0,-90.0,-41.41,-55.44,-51.0
96,204,-63.8,-83.0,-73.6,-85.25,-63.79,-13.05,-84.57,-90.0,-61.2,-67.57,-57.64
97,204,-71.72,-85.73,-75.0,-84.56,-66.17,-43.82,-89.0,-75.75,-59.09,-62.06,-49.39
98,204,-68.24,-84.0,-55.05,-83.75,-60.4,-59.39,-87.0,-90.0,-65.86,-44.21,-62.4
99,204,-65.12,-81.0,-69.58,-82.41,-56.4,-45.75,-81.83,-74.0,-57.31,-54.06,-40.0
100,Outside,-63.56,-80.33,-48.92,-90.0,-57.2,-75.28,-90.0,-74.5,-57.0,-53.5,-69.78
101,Outside,-74.21,-81.92,-66.0,-90.0,-53.57,-65.41,-76.5,-62.78,-51.37,-69.78,-55.5
102,Outside,-75.56,-90.0,-71.43,-90.0,-52.25,-61.59,-68.75,-73.0,-53.0,-68.85,-55.0
103,Outside,-81.5,-88.0,-68.5,-90.0,-69.83,-61.88,-80.71,-82.0,-47.53,-63.83,-58.24
104,Outside,-58.57,-81.0,-56.37,-75.35,-56.13,-74.67,-87.0,-71.67,-56.36,-59.81,-90.0
105,Outside,-78.56,-68.67,-68.0,-90.0,-53.62,-70.41,-65.0,-55.37,-53.43,-68.89,-51.0
106,Outside,-74.81,-81.5,-63.0,-90.0,-50.76,-66.37,-82.64,-67.55,-53.87,-59.0,-66.0
107,Outside,-73.56,-77.0,-52.4,-90.0,-51.44,-62.33,-76.5,-64.37,-90.0,-70.44,-64.35
108,Outside,-85.09,-90.0,-71.91,-90.0,-55.0,-78.47,-79.12,-60.08,-62.75,-72.33,-61.78
109,Outside,-73.56,-90.0,-67.0,-90.0,-73.12,-64.85,-84.0,-83.0,-46.88,-63.71,-60.5
110,204,-71.0,-90.0,-63.0,-82.0,-49.87,-51.79,-86.71,-78.11,-56.0,-61.93,-44.41
111,204,-68.73,-86.0,-66.08,-89.0,-68.54,-55.2,-90.0,-85.0,-71.0,-55.25,-57.29
112,204,-72.2,-85.47,-75.67,-84.0,-59.44,-54.0,-81.0,-79.25,-48.27,-61.83,-50.62
113,204,-72.33,-90.0,-74.0,-84.0,-69.27,-58.74,-85.14,-90.0,-64.73,-58.5,-62.0
114,204,-67.71,-83.33,-72.0,-85.67,-65.22,-56.76,-85.75,-90.0,-50.62,-67.79,-51.56
115,204,-70.82,-88.12,-74.29,-90.0,-74.25,-66.14,-90.0,-90.0,-61.14,-63.94,-61.94
116,204,-68.9,-90.0,-63.7,-79.0,-64.8,-55.0,-81.25,-90.0,-62.79,-59.88,-61.0
117,204,-77.07,-78.0,-72.0,-81.0,-56.5,-56.82,-84.2,-82.5,-52.44,-62.82,-52.0
118,204,-58.67,-90.0,-55.64,-86.37,-62.83,-60.87,-87.62,-81.75,-60.12,-53.12,-57.56
119,Outside,-65.44,-83.53,-54.46,-71.0,-53.42,-70.37,-90.0,-73.67,-55.4,-52.06,-68.24
120,Outside,-78.72,-88.12,-76.86,-87.0,-79.5,-61.0,-78.85,-76.5,-53.43,-68.39,-64.72
121,Outside,-70.2,-78.5,-72.61,-90.0,-52.33,-57.0,-72.61,-59.73,-59.15,-66.25,-58.5
122,Outside,-82.0,-87.89,-75.75,-86.0,-67.67,-58.0,-85.0,-79.33,-48.0,-70.11,-54.44
123,Outside,-74.75,-73.47,-66.25,-90.0,-50.46,-72.73,-80.4,-59.33,-52.7,-66.76,-60.72
124,Outside,-77.36,-90.0,-74.18,-88.0,-64.33,-69.45,-76.94,-78.0,-54.79,-66.95,-53.75
125,Outside,-65.44,-81.94,-51.38,-90.0,-48.27,-69.8,-86.0,-67.25,-55.43,-45.33,-63.33
126,Outside,-63.38,-90.0,-59.85,-90.0,-51.41,-64.0,-85.75,-65.15,-54.68,-46.82,-63.0
127,Outside,-84.5,-90.0,-77.67,-90.0,-70.4,-68.0,-80.27,-79.5,-43.0,-74.0,-64.12
