entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
27,20,18:0f:76:c3:06:8d,CSE-304,5,-56.2,0.4,-56.0,3,0.0
27,20,30:b5:c2:ea:5b:44,DataLab@BUET,2,-78.0,0.0,-78.0,2,0.0
27,20,bc:22:28:21:09:ba,CSE-206,4,-80.0,1.0,-80.0,4,1.0
27,20,bc:22:28:21:55:6e,CSE-104,2,-74.0,0.0,-74.0,2,0.0
27,20,60:63:4c:31:37:40,CSE-303,3,-66.33,2.36,-66.33,3,2.36
27,20,5e:a9:31:22:bb:0a,CSE-LAB,1,-71.0,0.0,-71.0,1,0.0
28,20,26:2f:d0:88:39:a2,IAC,4,-60.0,4.53,-60.0,4,4.53
28,20,36:62:f9:a1:88:57,CSE OFFICE,20,-70.75,1.41,-70.42,12,0.49
28,20,bc:22:28:21:09:21,CSE-205,20,-73.55,1.5,-74.0,12,0.0
28,20,30:b5:c2:ea:5b:44,DataLab@BUET,10,-73.2,1.66,-74.0,6,0.0
28,20,00:22:b0:05:f3:bc,CSE-204,11,-53.55,2.23,-54.17,6,0.37
28,20,36:62:f9:a1:88:63,CSE OFFICE,18,-84.44,2.63,-84.91,11,2.11
28,20,36:20:f9:a1:88:62,CSE OFFICE,1,-61.0,0.0,-61.0,1,0.0
28,20,34:e8:94:10:7d:fa,Hall of Fame,4,-68.5,5.32,-68.5,4,5.32
28,20,60:63:4c:31:37:40,CSE-303,10,-53.6,3.58,-52.17,6,0.37
28,20,18:0f:76:c3:06:8d,CSE-304,6,-51.0,0.0,-51.0,3,0.0
28,20,bc:22:28:21:55:6b,CSE-104,4,-78.75,0.83,-78.75,4,0.83
28,20,36:20:f9:a1:88:56,CSE OFFICE,3,-48.0,2.94,-48.0,3,2.94
28,20,5e:a9:31:22:bb:0a,CSE-LAB,3,-57.67,3.4,-57.67,3,3.4
28,20,70:4c:a5:95:b6:00,BUET-Free-WiFi,1,-89.0,0.0,-89.0,1,0.0
28,20,36:20:f9:a1:8b:8e,CSE OFFICE,5,-81.0,0.0,-81.0,3,0.0
28,20,bc:22:28:21:09:24,CSE-205,1,-74.0,0.0,-74.0,1,0.0
29,20,bc:22:28:21:55:6b,CSE-104,11,-80.09,1.56,-80.5,6,0.5
29,20,36:20:f9:a1:88:62,CSE OFFICE,5,-65.2,3.97,-65.33,3,3.09
29,20,60:63:4c:31:37:48,dlink,20,-83.05,2.13,-83.0,12,1.35
29,20,36:62:f9:a1:88:57,CSE OFFICE,20,-63.15,3.71,-62.42,12,1.71
29,20,bc:22:28:21:09:21,CSE-205,16,-70.31,2.89,-70.78,9,1.03
29,20,36:20:f9:a1:88:56,CSE OFFICE,20,-55.4,2.82,-55.58,12,1.61
29,20,60:63:4c:31:37:40,CSE-303,5,-66.2,1.72,-66.67,3,0.47
29,20,30:b5:c2:ea:5b:44,DataLab@BUET,2,-77.5,0.5,-77.5,2,0.5
29,20,bc:22:28:21:55:6e,CSE-104,3,-75.67,0.94,-75.67,3,0.94
29,20,36:62:f9:a1:88:63,CSE OFFICE,3,-84.67,0.47,-84.67,3,0.47
29,20,26:2f:d0:88:39:a2,IAC,1,-66.0,0.0,-66.0,1,0.0
29,20,00:22:b0:05:f3:bc,CSE-204,5,-47.0,23.92,-57.0,3,4.55
29,20,34:e8:94:10:7d:fa,Hall of Fame,5,-70.2,3.54,-70.0,3,0.82
29,20,bc:22:28:21:09:24,CSE-205,2,-69.5,1.5,-69.5,2,1.5
29,20,36:20:f9:a1:8b:8e,CSE OFFICE,1,-75.0,0.0,-75.0,1,0.0
30,20,26:2f:d0:88:39:a2,IAC,1,-54.0,0.0,-54.0,1,0.0
30,20,bc:22:28:21:09:24,CSE-205,1,-74.0,0.0,-74.0,1,0.0
30,20,36:62:f9:a1:88:57,CSE OFFICE,20,-66.75,1.41,-66.67,12,0.94
30,20,bc:22:28:21:09:21,CSE-205,19,-74.89,1.48,-75.0,12,1.08
30,20,30:b5:c2:ea:5b:44,DataLab@BUET,2,-68.5,2.5,-68.5,2,2.5
30,20,bc:22:28:21:55:6b,CSE-104,18,-82.72,1.63,-83.0,11,0.0
30,20,00:22:b0:05:f3:bc,CSE-204,18,-54.11,1.88,-54.55,11,1.3
30,20,18:0f:76:c3:06:8d,CSE-304,6,-61.5,1.71,-62.33,3,0.47
30,20,36:20:f9:a1:88:56,CSE OFFICE,18,-47.56,2.03,-47.64,11,1.87
30,20,60:63:4c:31:37:40,CSE-303,9,-62.67,0.67,-63.0,6,0.0
30,20,36:62:f9:a1:88:63,CSE OFFICE,18,-85.06,1.08,-85.0,11,0.85
30,20,34:e8:94:10:7d:fa,Hall of Fame,17,-63.88,1.32,-63.9,10,0.94
30,20,36:20:f9:a1:88:62,CSE OFFICE,7,-63.86,0.35,-64.0,4,0.0
30,20,bc:22:28:21:09:ba,CSE-206,3,-76.0,2.83,-76.0,3,2.83
30,20,5e:a9:31:22:bb:0a,CSE-LAB,6,-59.83,0.37,-60.0,3,0.0
30,20,70:4c:a5:95:b6:00,BUET-Free-WiFi,1,-84.0,0.0,-84.0,1,0.0
31,20,00:22:b0:05:f3:bc,CSE-204,19,-64.16,4.09,-64.75,12,2.55
31,20,5e:a9:31:22:bb:0a,CSE-LAB,8,-68.0,1.8,-68.4,5,1.62
31,20,36:20:f9:a1:88:56,CSE OFFICE,10,-59.2,2.4,-58.5,6,0.5
31,20,18:0f:76:c3:06:8d,CSE-304,4,-67.5,1.12,-67.5,4,1.12
31,20,26:2f:d0:88:39:a2,IAC,2,-70.5,0.5,-70.5,2,0.5
31,20,36:20:f9:a1:88:62,CSE OFFICE,4,-77.0,3.08,-77.0,4,3.08
31,20,30:b5:c2:ea:5b:44,DataLab@BUET,4,-84.0,2.83,-84.0,4,2.83
31,20,bc:22:28:21:55:6e,CSE-104,6,-83.67,0.94,-83.67,3,0.94
31,20,34:e8:94:10:7d:fa,Hall of Fame,8,-78.12,4.65,-78.4,5,4.27
31,20,bc:22:28:21:09:ba,CSE-206,1,-95.0,0.0,-95.0,1,0.0
31,20,60:63:4c:31:37:40,CSE-303,5,-65.0,1.79,-65.0,3,1.63
31,20,bc:22:28:21:09:24,CSE-205,1,-85.0,0.0,-85.0,1,0.0
32,20,26:2f:d0:88:39:a2,IAC,3,-69.33,2.05,-69.33,3,2.05
32,20,36:62:f9:a1:88:57,CSE OFFICE,20,-74.6,2.44,-74.75,12,2.01
32,20,bc:22:28:21:09:21,CSE-205,20,-71.4,2.2,-70.5,12,0.76
32,20,bc:22:28:21:09:ba,CSE-206,20,-78.3,1.82,-78.0,12,0.91
32,20,36:20:f9:a1:88:56,CSE OFFICE,14,-51.64,3.81,-52.44,9,1.83
32,20,30:b5:c2:ea:5b:44,DataLab@BUET,20,-78.65,3.05,-78.42,12,0.49
32,20,bc:22:28:21:55:6b,CSE-104,19,-87.47,2.26,-88.08,12,1.55
32,20,60:63:4c:31:37:40,CSE-303,20,-65.2,2.58,-65.33,12,2.25
32,20,5e:a9:31:22:bb:0a,CSE-LAB,20,-66.55,2.09,-65.92,12,1.44
32,20,18:0f:76:c3:06:8d,CSE-304,3,-69.0,0.82,-69.0,3,0.82
32,20,36:62:f9:a1:88:63,CSE OFFICE,11,-96.73,0.45,-97.0,6,0.0
32,20,00:22:b0:05:f3:bc,CSE-204,11,-50.18,8.33,-47.83,6,4.26
32,20,bc:22:28:21:09:24,CSE-205,2,-77.5,3.5,-77.5,2,3.5
32,20,bc:22:28:21:55:6e,CSE-104,3,-78.0,3.74,-78.0,3,3.74
32,20,34:e8:94:10:7d:fa,Hall of Fame,3,-76.33,0.47,-76.33,3,0.47
32,20,70:4c:a5:95:b6:00,BUET-Free-WiFi,1,-91.0,0.0,-91.0,1,0.0
33,20,bc:22:28:21:55:6b,CSE-104,16,-83.94,1.68,-84.78,9,0.63
33,20,36:62:f9:a1:88:57,CSE OFFICE,20,-78.45,3.12,-78.17,12,2.23
33,20,bc:22:28:21:09:21,CSE-205,20,-82.6,1.91,-83.08,12,0.64
33,20,36:20:f9:a1:88:56,CSE OFFICE,20,-59.05,2.42,-59.75,12,1.09
33,20,00:22:b0:05:f3:bc,CSE-204,5,-60.6,5.89,-59.0,3,2.94
33,20,18:0f:76:c3:06:8d,CSE-304,6,-48.17,2.19,-48.67,3,1.7
33,20,36:62:f9:a1:88:63,CSE OFFICE,13,-89.23,1.8,-89.12,8,1.54
33,20,30:b5:c2:ea:5b:44,DataLab@BUET,12,-69.92,1.85,-70.0,7,0.0
33,20,34:e8:94:10:7d:fa,Hall of Fame,10,-70.8,2.4,-71.17,6,0.37
33,20,60:63:4c:31:37:40,CSE-303,11,-61.82,2.92,-62.17,6,2.85
33,20,5e:a9:31:22:bb:0a,CSE-LAB,5,-63.0,0.0,-63.0,3,0.0
33,20,bc:22:28:21:55:6e,CSE-104,5,-73.2,5.15,-71.33,3,1.7
33,20,36:20:f9:a1:88:62,CSE OFFICE,1,-67.0,0.0,-67.0,1,0.0
34,20,60:63:4c:31:37:40,CSE-303,4,-62.0,5.87,-62.0,4,5.87
34,20,36:62:f9:a1:88:57,CSE OFFICE,3,-80.33,2.87,-80.33,3,2.87
34,20,bc:22:28:21:55:6b,CSE-104,8,-81.5,3.61,-82.2,5,3.12
34,20,00:22:b0:05:f3:bc,CSE-204,10,-68.3,0.9,-68.5,6,0.76
34,20,36:20:f9:a1:88:56,CSE OFFICE,5,-62.4,0.8,-62.67,3,0.47
34,20,36:62:f9:a1:88:63,CSE OFFICE,4,-89.0,1.73,-89.0,4,1.73
34,20,34:e8:94:10:7d:fa,Hall of Fame,1,-68.0,0.0,-68.0,1,0.0
34,20,26:2f:d0:88:39:a2,IAC,3,-63.33,3.09,-63.33,3,3.09
