scanId,entryId,scanGroupIndex,Frequency,MacAddress,SSID,Strength
2294,8,10,5180,60:63:4c:31:37:48,dlink,-84
2295,8,10,2437,46:44:d1:b3:33:78,Galaxy M12 396F,-60
2296,8,10,5805,34:60:f9:a1:88:63,,-81
2297,8,10,2457,bc:22:28:21:09:24,CSE-205,-50
2298,8,10,2462,00:1e:2a:ba:c8:20,CSE-401,-81
2299,8,10,5785,bc:22:28:21:09:21,CSE-205,-53
2300,8,10,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-64
2301,8,10,2462,cc:2d:21:3e:5b:b0,Room 202,-87
2302,8,10,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-75
2303,8,10,2462,c0:25:e9:5e:ba:d4,Group Of Crazy💃,-80
2304,8,10,2462,34:e8:94:10:7d:fa,Hall of Fame,-75
2305,8,10,2462,8e:f6:fd:8d:6d:a4,POCO X3 Pro,-55
2306,8,10,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-58
2307,8,10,2462,0c:80:63:fb:72:74,Slow Wifi,-88
2308,8,11,5200,2c:fe:e2:59:d0:c2,Horion_e9,-57
2309,8,11,2462,bc:22:28:20:b9:f6,CSE-503,-73
2310,8,11,5765,bc:22:28:21:55:6b,CSE-104,-82
2311,8,11,5785,66:79:f0:36:84:ea,DIRECT-DCLAPTOP-LIA41UT4msFN,-63
2312,8,11,2437,56:f1:5f:2e:f3:7a,Horion_yj,-69
2313,8,11,5745,52:29:6f:70:e8:02,Shakshor,-85
2314,8,11,2462,60:63:4c:31:37:60,CSE-306,-83
2315,8,11,2432,60:63:4c:31:37:40,CSE-303,-58
2316,8,11,5805,36:62:f9:a1:88:63,CSE OFFICE,-84
2317,8,11,5180,60:63:4c:31:37:48,dlink,-81
2318,8,11,2457,34:60:f9:a1:88:62,,-62
2319,8,11,5805,34:60:f9:a1:88:63,,-84
2320,8,11,2457,bc:22:28:21:09:24,CSE-205,-49
2321,8,11,2457,e8:65:d4:fc:e2:68,Net lagbo,-80
2322,8,11,5785,bc:22:28:21:09:21,CSE-205,-56
2323,8,11,2417,10:62:eb:7d:61:95,Super girls,-62
2324,8,11,2412,00:22:b0:05:f3:bc,CSE-204,-64
2325,8,11,2462,bc:22:28:21:55:6e,CSE-104,-76
2326,8,11,2412,18:0f:76:c3:06:8d,CSE-304,-61
2327,8,11,2462,bc:22:28:21:70:62,CSE-214,-88
2328,8,11,2462,34:e8:94:10:7d:fa,Hall of Fame,-81
2329,8,11,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-55
2330,8,11,2462,8e:f6:fd:8d:6d:a4,POCO X3 Pro,-63
2331,8,11,2452,b0:19:21:f7:f8:83,Room no. 614,-79
2332,8,11,2462,0c:80:63:fb:72:74,Slow Wifi,-91
2333,8,12,5200,2c:fe:e2:59:d0:c2,Horion_e9,-47
2334,8,12,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-68
2335,8,12,5785,66:79:f0:36:84:ea,DIRECT-DCLAPTOP-LIA41UT4msFN,-58
2336,8,12,5805,c6:6d:1d:f3:81:c0,Pixel_7669,-86
2337,8,12,2437,8e:94:9f:cb:b9:b0,Fuad's A54,-60
2338,8,12,5805,36:62:f9:a1:88:63,CSE OFFICE,-83
2339,8,12,5180,60:63:4c:31:37:48,dlink,-81
2340,8,12,2437,46:44:d1:b3:33:78,Galaxy M12 396F,-59
2341,8,12,5805,34:60:f9:a1:88:63,,-84
2342,8,12,2457,bc:22:28:21:09:24,CSE-205,-55
2343,8,12,5785,bc:22:28:21:09:21,CSE-205,-62
2344,8,12,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-67
2345,8,12,2462,bc:22:28:21:55:6e,CSE-104,-72
2346,8,12,2412,18:0f:76:c3:06:8d,CSE-304,-57
2347,8,12,2462,34:e8:94:10:7d:fa,Hall of Fame,-77
2348,8,12,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-54
2349,8,12,2462,8e:f6:fd:8d:6d:a4,POCO X3 Pro,-58
2350,8,13,2462,b8:3a:08:dd:a2:98,Room no. 306,-88
2351,8,13,5200,2c:fe:e2:59:d0:c2,Horion_e9,-44
2352,8,13,2462,bc:22:28:20:b9:f6,CSE-503,-70
2353,8,13,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-73
2354,8,13,2462,60:63:4c:31:37:60,CSE-306,-85
2355,8,13,2457,36:20:f9:a1:88:62,CSE OFFICE,-61
2356,8,13,5180,60:63:4c:31:37:48,dlink,-82
2357,8,13,2457,bc:22:28:21:09:24,CSE-205,-58
2358,8,13,2462,00:1e:2a:ba:c8:20,CSE-401,-84
2359,8,13,2412,00:22:b0:05:f3:bc,CSE-204,-66
2360,8,13,2462,bc:22:28:21:55:6e,CSE-104,-75
2361,8,13,2452,cc:2d:21:01:cb:38,ROOM-812,-83
2362,8,13,2462,34:e8:94:10:7d:fa,Hall of Fame,-84
2363,8,13,2462,8e:f6:fd:8d:6d:a4,POCO X3 Pro,-54
2364,8,13,2462,0c:80:63:fb:72:74,Slow Wifi,-86
2365,8,14,2462,b8:3a:08:dd:a2:98,Room no. 306,-85
2366,8,14,5200,2c:fe:e2:59:d0:c2,Horion_e9,-58
2367,8,14,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-62
2368,8,14,2462,bc:22:28:20:b9:f6,CSE-503,-74
2369,8,14,5785,66:79:f0:36:84:ea,DIRECT-DCLAPTOP-LIA41UT4msFN,-61
2370,8,14,5745,52:29:6f:70:e8:02,Shakshor,-77
2371,8,14,2432,60:63:4c:31:37:40,CSE-303,-52
2372,8,14,2437,8e:94:9f:cb:b9:b0,Fuad's A54,-55
2373,8,14,5805,36:62:f9:a1:88:63,CSE OFFICE,-83
2374,8,14,5180,60:63:4c:31:37:48,dlink,-83
2375,8,14,2412,bc:62:ce:6a:3a:2a,RBH 204,-80
2376,8,14,2437,46:44:d1:b3:33:78,Galaxy M12 396F,-49
2377,8,14,2457,34:60:f9:a1:88:62,,-61
2378,8,14,2457,bc:22:28:21:09:24,CSE-205,-46
2379,8,14,2462,00:1e:2a:ba:c8:20,CSE-401,-82
2380,8,14,2432,5c:e9:31:22:be:d6,,-71
2381,8,14,5785,bc:22:28:21:09:21,CSE-205,-50
2382,8,14,2462,bc:22:28:21:55:6e,CSE-104,-71
2383,8,14,2412,18:0f:76:c3:06:8d,CSE-304,-59
2384,8,14,2417,d6:2c:9e:ee:4a:20,Jo,-56
2385,8,14,2462,34:e8:94:10:7d:fa,Hall of Fame,-85
2386,8,14,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-53
2387,8,14,2462,8e:f6:fd:8d:6d:a4,POCO X3 Pro,-64
2388,8,15,2462,b8:3a:08:dd:a2:98,Room no. 306,-86
2389,8,15,5200,2c:fe:e2:59:d0:c2,Horion_e9,-56
2390,8,15,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-69
2391,8,15,2462,bc:22:28:20:b9:f6,CSE-503,-74
2392,8,15,5785,66:79:f0:36:84:ea,DIRECT-DCLAPTOP-LIA41UT4msFN,-67
2393,8,15,2457,34:60:f9:a1:8b:8e,,-73
2394,8,15,2462,60:63:4c:31:37:60,CSE-306,-73
2395,8,15,5805,36:62:f9:a1:88:63,CSE OFFICE,-85
2396,8,15,5180,60:63:4c:31:37:48,dlink,-80
2397,8,15,2457,34:60:f9:a1:88:56,,-72
2398,8,15,2417,74:fe:ce:2c:3f:1a,ROOM:612,-84
2399,8,15,2457,bc:22:28:21:09:24,CSE-205,-52
2400,8,15,2462,00:1e:2a:ba:c8:20,CSE-401,-84
2401,8,15,5785,bc:22:28:21:09:21,CSE-205,-52
2402,8,15,2462,cc:2d:21:3e:5b:b0,Room 202,-87
2403,8,15,2462,70:4c:a5:95:b6:00,BUET-Free-WiFi,-88
2404,8,15,2462,70:4c:a5:95:b6:01,eduroam,-87
2405,8,15,2412,00:22:b0:05:f3:bc,CSE-204,-69
2406,8,15,2457,36:20:f9:a1:8b:8e,CSE OFFICE,-75
2407,8,15,2417,d6:2c:9e:ee:4a:20,Jo,-55
2408,8,15,2462,c0:25:e9:5e:ba:d4,Group Of Crazy💃,-87
2409,8,15,2462,34:e8:94:10:7d:fa,Hall of Fame,-81
2410,8,15,2462,8e:f6:fd:8d:6d:a4,POCO X3 Pro,-60
2411,8,15,2462,0c:80:63:fb:72:74,Slow Wifi,-86
2412,8,16,2462,b8:3a:08:dd:a2:98,Room no. 306,-84
2413,8,16,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-48
2414,8,16,5200,2c:fe:e2:59:d0:c2,Horion_e9,-56
2415,8,16,2462,bc:22:28:20:b9:f6,CSE-503,-74
2416,8,16,5765,bc:22:28:21:55:6c,,-79
2417,8,16,5765,bc:22:28:21:55:6b,CSE-104,-79
2418,8,16,5785,66:79:f0:36:84:ea,DIRECT-DCLAPTOP-LIA41UT4msFN,-68
2419,8,16,2462,60:a4:b7:20:74:5c,Room-1114,-72
2420,8,16,2462,60:63:4c:31:37:60,CSE-306,-80
2421,8,16,2457,36:20:f9:a1:88:62,CSE OFFICE,-62
2422,8,16,2437,8e:94:9f:cb:b9:b0,Fuad's A54,-57
2423,8,16,5805,36:62:f9:a1:88:63,CSE OFFICE,-80
2424,8,16,5180,60:63:4c:31:37:48,dlink,-82
2425,8,16,2462,f4:8c:eb:a1:c5:5f,Shantir Bari,-88
2426,8,16,2457,bc:22:28:21:09:24,CSE-205,-58
2427,8,16,2462,00:1e:2a:ba:c8:20,CSE-401,-83
2428,8,16,5785,bc:22:28:21:09:21,CSE-205,-52
2429,8,16,2437,bc:22:28:21:09:ba,CSE-206,-72
2430,8,16,2462,cc:2d:21:3e:5b:b0,Room 202,-84
2431,8,16,2462,70:4c:a5:95:b6:00,BUET-Free-WiFi,-88
2432,8,16,2462,bc:22:28:21:55:6e,CSE-104,-73
2433,8,16,2457,40:ae:30:2b:87:ea,Room 813,-77
2434,8,16,2417,d6:2c:9e:ee:4a:20,Jo,-50
2435,8,16,2462,34:e8:94:10:7d:fa,Hall of Fame,-86
2436,8,16,2462,8e:f6:fd:8d:6d:a4,POCO X3 Pro,-59
2437,8,16,2452,b0:19:21:f7:f8:83,Room no. 614,-74
2438,8,17,5200,2c:fe:e2:59:d0:c2,Horion_e9,-55
2439,8,17,2462,bc:22:28:20:b9:f6,CSE-503,-75
2440,8,17,5785,66:79:f0:36:84:ea,DIRECT-DCLAPTOP-LIA41UT4msFN,-76
2441,8,17,5745,52:29:6f:70:e8:02,Shakshor,-84
2442,8,17,2457,34:60:f9:a1:8b:8e,,-73
2443,8,17,2462,60:63:4c:31:37:60,CSE-306,-82
2444,8,17,2432,60:63:4c:31:37:40,CSE-303,-55
2445,8,17,5805,36:62:f9:a1:88:63,CSE OFFICE,-75
2446,8,17,5180,60:63:4c:31:37:48,dlink,-79
2447,8,17,5805,34:60:f9:a1:88:63,,-75
2448,8,17,2462,00:1e:2a:ba:c8:20,CSE-401,-87
2449,8,17,5785,bc:22:28:21:09:21,CSE-205,-57
2450,8,17,2457,36:20:f9:a1:88:56,CSE OFFICE,-80
2451,8,17,2462,cc:2d:21:3e:5b:b0,Room 202,-90
2452,8,17,2462,bc:22:28:21:55:6e,CSE-104,-70
2453,8,17,2462,70:4c:a5:95:b2:d1,eduroam,-88
2454,8,17,2462,80:af:ca:11:95:ea,Graduate Lobby,-89
2455,8,17,2412,18:0f:76:c3:06:8d,CSE-304,-56
2456,8,17,2462,bc:22:28:21:70:62,CSE-214,-85
2457,8,17,2412,10:62:eb:77:b7:42,CSE-G04,-59
2458,8,17,2462,34:e8:94:10:7d:fa,Hall of Fame,-85
